fips,year,new_fips
01001,1983,01001
01003,1983,01003
01005,1983,01005
01007,1983,01007
01009,1983,01009
01011,1983,01011
01013,1983,01013
01015,1983,01015
01017,1983,01017
01019,1983,01019
01021,1983,01021
01023,1983,01023
01025,1983,01025
01027,1983,01027
01029,1983,01029
01031,1983,01031
01033,1983,01033
01035,1983,01035
01037,1983,01037
01039,1983,01039
01041,1983,01041
01043,1983,01043
01045,1983,01045
01047,1983,01047
01049,1983,01049
01051,1983,01051
01053,1983,01053
01055,1983,01055
01057,1983,01057
01059,1983,01059
01061,1983,01061
01063,1983,01063
01065,1983,01065
01067,1983,01067
01069,1983,01069
01071,1983,01071
01073,1983,01073
01075,1983,01075
01077,1983,01077
01079,1983,01079
01081,1983,01081
01083,1983,01083
01085,1983,01085
01087,1983,01087
01089,1983,01089
01091,1983,01091
01093,1983,01093
01095,1983,01095
01097,1983,01097
01099,1983,01099
01101,1983,01101
01103,1983,01103
01105,1983,01105
01107,1983,01107
01109,1983,01109
01111,1983,01111
01113,1983,01113
01115,1983,01115
01117,1983,01117
01119,1983,01119
01121,1983,01121
01123,1983,01123
01125,1983,01125
01127,1983,01127
01129,1983,01129
01131,1983,01131
01133,1983,01133
04001,1983,04001
04003,1983,04003
04005,1983,04005
04007,1983,04007
04009,1983,04009
04011,1983,04011
04012,1983,04012
04013,1983,04013
04015,1983,04015
04017,1983,04017
04019,1983,04019
04021,1983,04021
04023,1983,04023
04025,1983,04025
04027,1983,04027
05001,1983,05001
05003,1983,05003
05005,1983,05005
05007,1983,05007
05009,1983,05009
05011,1983,05011
05013,1983,05013
05015,1983,05015
05017,1983,05017
05019,1983,05019
05021,1983,05021
05023,1983,05023
05025,1983,05025
05027,1983,05027
05029,1983,05029
05031,1983,05031
05033,1983,05033
05035,1983,05035
05037,1983,05037
05039,1983,05039
05041,1983,05041
05043,1983,05043
05045,1983,05045
05047,1983,05047
05049,1983,05049
05051,1983,05051
05053,1983,05053
05055,1983,05055
05057,1983,05057
05059,1983,05059
05061,1983,05061
05063,1983,05063
05065,1983,05065
05067,1983,05067
05069,1983,05069
05071,1983,05071
05073,1983,05073
05075,1983,05075
05077,1983,05077
05079,1983,05079
05081,1983,05081
05083,1983,05083
05085,1983,05085
05087,1983,05087
05089,1983,05089
05091,1983,05091
05093,1983,05093
05095,1983,05095
05097,1983,05097
05099,1983,05099
05101,1983,05101
05103,1983,05103
05105,1983,05105
05107,1983,05107
05109,1983,05109
05111,1983,05111
05113,1983,05113
05115,1983,05115
05117,1983,05117
05119,1983,05119
05121,1983,05121
05123,1983,05123
05125,1983,05125
05127,1983,05127
05129,1983,05129
05131,1983,05131
05133,1983,05133
05135,1983,05135
05137,1983,05137
05139,1983,05139
05141,1983,05141
05143,1983,05143
05145,1983,05145
05147,1983,05147
05149,1983,05149
06001,1983,06001
06003,1983,06003
06005,1983,06005
06007,1983,06007
06009,1983,06009
06011,1983,06011
06013,1983,06013
06015,1983,06015
06017,1983,06017
06019,1983,06019
06021,1983,06021
06023,1983,06023
06025,1983,06025
06027,1983,06027
06029,1983,06029
06031,1983,06031
06033,1983,06033
06035,1983,06035
06037,1983,06037
06039,1983,06039
06041,1983,06041
06043,1983,06043
06045,1983,06045
06047,1983,06047
06049,1983,06049
06051,1983,06051
06053,1983,06053
06055,1983,06055
06057,1983,06057
06059,1983,06059
06061,1983,06061
06063,1983,06063
06065,1983,06065
06067,1983,06067
06069,1983,06069
06071,1983,06071
06073,1983,06073
06075,1983,06075
06077,1983,06077
06079,1983,06079
06081,1983,06081
06083,1983,06083
06085,1983,06085
06087,1983,06087
06089,1983,06089
06091,1983,06091
06093,1983,06093
06095,1983,06095
06097,1983,06097
06099,1983,06099
06101,1983,06101
06103,1983,06103
06105,1983,06105
06107,1983,06107
06109,1983,06109
06111,1983,06111
06113,1983,06113
06115,1983,06115
08001,1983,08031
08003,1983,08003
08005,1983,08005
08007,1983,08007
08009,1983,08009
08011,1983,08011
08013,1983,08031
08015,1983,08015
08017,1983,08017
08019,1983,08019
08021,1983,08021
08023,1983,08023
08025,1983,08025
08027,1983,08027
08029,1983,08029
08031,1983,08031
08033,1983,08033
08035,1983,08035
08037,1983,08037
08039,1983,08039
08041,1983,08041
08043,1983,08043
08045,1983,08045
08047,1983,08047
08049,1983,08049
08051,1983,08051
08053,1983,08053
08055,1983,08055
08057,1983,08057
08059,1983,08031
08061,1983,08061
08063,1983,08063
08065,1983,08065
08067,1983,08067
08069,1983,08069
08071,1983,08071
08073,1983,08073
08075,1983,08075
08077,1983,08077
08079,1983,08079
08081,1983,08081
08083,1983,08083
08085,1983,08085
08087,1983,08087
08089,1983,08089
08091,1983,08091
08093,1983,08093
08095,1983,08095
08097,1983,08097
08099,1983,08099
08101,1983,08101
08103,1983,08103
08105,1983,08105
08107,1983,08107
08109,1983,08109
08111,1983,08111
08113,1983,08113
08115,1983,08115
08117,1983,08117
08119,1983,08119
08121,1983,08121
08123,1983,08031
08125,1983,08125
09001,1983,09001
09003,1983,09003
09005,1983,09005
09007,1983,09007
09009,1983,09009
09011,1983,09011
09013,1983,09013
09015,1983,09015
10001,1983,10001
10003,1983,10003
10005,1983,10005
11001,1983,11001
12001,1983,12001
12003,1983,12003
12005,1983,12005
12007,1983,12007
12009,1983,12009
12011,1983,12011
12013,1983,12013
12015,1983,12015
12017,1983,12017
12019,1983,12019
12021,1983,12021
12023,1983,12023
12025,1983,12086
12027,1983,12027
12029,1983,12029
12031,1983,12031
12033,1983,12033
12035,1983,12035
12037,1983,12037
12039,1983,12039
12041,1983,12041
12043,1983,12043
12045,1983,12045
12047,1983,12047
12049,1983,12049
12051,1983,12051
12053,1983,12053
12055,1983,12055
12057,1983,12057
12059,1983,12059
12061,1983,12061
12063,1983,12063
12065,1983,12065
12067,1983,12067
12069,1983,12069
12071,1983,12071
12073,1983,12073
12075,1983,12075
12077,1983,12077
12079,1983,12079
12081,1983,12081
12083,1983,12083
12085,1983,12085
12087,1983,12087
12089,1983,12089
12091,1983,12091
12093,1983,12093
12095,1983,12095
12097,1983,12097
12099,1983,12099
12101,1983,12101
12103,1983,12103
12105,1983,12105
12107,1983,12107
12109,1983,12109
12111,1983,12111
12113,1983,12113
12115,1983,12115
12117,1983,12117
12119,1983,12119
12121,1983,12121
12123,1983,12123
12125,1983,12125
12127,1983,12127
12129,1983,12129
12131,1983,12131
12133,1983,12133
13001,1983,13001
13003,1983,13003
13005,1983,13005
13007,1983,13007
13009,1983,13009
13011,1983,13011
13013,1983,13013
13015,1983,13015
13017,1983,13017
13019,1983,13019
13021,1983,13021
13023,1983,13023
13025,1983,13025
13027,1983,13027
13029,1983,13029
13031,1983,13031
13033,1983,13033
13035,1983,13035
13037,1983,13037
13039,1983,13039
13043,1983,13043
13045,1983,13045
13047,1983,13047
13049,1983,13049
13051,1983,13051
13053,1983,13053
13055,1983,13055
13057,1983,13057
13059,1983,13059
13061,1983,13061
13063,1983,13063
13065,1983,13065
13067,1983,13067
13069,1983,13069
13071,1983,13071
13073,1983,13073
13075,1983,13075
13077,1983,13077
13079,1983,13079
13081,1983,13081
13083,1983,13083
13085,1983,13085
13087,1983,13087
13089,1983,13089
13091,1983,13091
13093,1983,13093
13095,1983,13095
13097,1983,13097
13099,1983,13099
13101,1983,13101
13103,1983,13103
13105,1983,13105
13107,1983,13107
13109,1983,13109
13111,1983,13111
13113,1983,13113
13115,1983,13115
13117,1983,13117
13119,1983,13119
13121,1983,13121
13123,1983,13123
13125,1983,13125
13127,1983,13127
13129,1983,13129
13131,1983,13131
13133,1983,13133
13135,1983,13135
13137,1983,13137
13139,1983,13139
13141,1983,13141
13143,1983,13143
13145,1983,13145
13147,1983,13147
13149,1983,13149
13151,1983,13151
13153,1983,13153
13155,1983,13155
13157,1983,13157
13159,1983,13159
13161,1983,13161
13163,1983,13163
13165,1983,13165
13167,1983,13167
13169,1983,13169
13171,1983,13171
13173,1983,13173
13175,1983,13175
13177,1983,13177
13179,1983,13179
13181,1983,13181
13183,1983,13183
13185,1983,13185
13187,1983,13187
13189,1983,13189
13191,1983,13191
13193,1983,13193
13195,1983,13195
13197,1983,13197
13199,1983,13199
13201,1983,13201
13205,1983,13205
13207,1983,13207
13209,1983,13209
13211,1983,13211
13213,1983,13213
13215,1983,13215
13217,1983,13217
13219,1983,13219
13221,1983,13221
13223,1983,13223
13225,1983,13225
13227,1983,13227
13229,1983,13229
13231,1983,13231
13233,1983,13233
13235,1983,13235
13237,1983,13237
13239,1983,13239
13241,1983,13241
13243,1983,13243
13245,1983,13245
13247,1983,13247
13249,1983,13249
13251,1983,13251
13253,1983,13253
13255,1983,13255
13257,1983,13257
13259,1983,13259
13261,1983,13261
13263,1983,13263
13265,1983,13265
13267,1983,13267
13269,1983,13269
13271,1983,13271
13273,1983,13273
13275,1983,13275
13277,1983,13277
13279,1983,13279
13281,1983,13281
13283,1983,13283
13285,1983,13285
13287,1983,13287
13289,1983,13289
13291,1983,13291
13293,1983,13293
13295,1983,13295
13297,1983,13297
13299,1983,13299
13301,1983,13301
13303,1983,13303
13305,1983,13305
13307,1983,13307
13309,1983,13309
13311,1983,13311
13313,1983,13313
13315,1983,13315
13317,1983,13317
13319,1983,13319
13321,1983,13321
16001,1983,16001
16003,1983,16003
16005,1983,16005
16007,1983,16007
16009,1983,16009
16011,1983,16011
16013,1983,16013
16015,1983,16015
16017,1983,16017
16019,1983,16019
16021,1983,16021
16023,1983,16023
16025,1983,16025
16027,1983,16027
16029,1983,16029
16031,1983,16031
16033,1983,16033
16035,1983,16035
16037,1983,16037
16039,1983,16039
16041,1983,16041
16043,1983,16043
16045,1983,16045
16047,1983,16047
16049,1983,16049
16051,1983,16051
16053,1983,16053
16055,1983,16055
16057,1983,16057
16059,1983,16059
16061,1983,16061
16063,1983,16063
16065,1983,16065
16067,1983,16067
16069,1983,16069
16071,1983,16071
16073,1983,16073
16075,1983,16075
16077,1983,16077
16079,1983,16079
16081,1983,16081
16083,1983,16083
16085,1983,16085
16087,1983,16087
17001,1983,17001
17003,1983,17003
17005,1983,17005
17007,1983,17007
17009,1983,17009
17011,1983,17011
17013,1983,17013
17015,1983,17015
17017,1983,17017
17019,1983,17019
17021,1983,17021
17023,1983,17023
17025,1983,17025
17027,1983,17027
17029,1983,17029
17031,1983,17031
17033,1983,17033
17035,1983,17035
17037,1983,17037
17039,1983,17039
17041,1983,17041
17043,1983,17043
17045,1983,17045
17047,1983,17047
17049,1983,17049
17051,1983,17051
17053,1983,17053
17055,1983,17055
17057,1983,17057
17059,1983,17059
17061,1983,17061
17063,1983,17063
17065,1983,17065
17067,1983,17067
17069,1983,17069
17071,1983,17071
17073,1983,17073
17075,1983,17075
17077,1983,17077
17079,1983,17079
17081,1983,17081
17083,1983,17083
17085,1983,17085
17087,1983,17087
17089,1983,17089
17091,1983,17091
17093,1983,17093
17095,1983,17095
17097,1983,17097
17099,1983,17099
17101,1983,17101
17103,1983,17103
17105,1983,17105
17107,1983,17107
17109,1983,17109
17111,1983,17111
17113,1983,17113
17115,1983,17115
17117,1983,17117
17119,1983,17119
17121,1983,17121
17123,1983,17123
17125,1983,17125
17127,1983,17127
17129,1983,17129
17131,1983,17131
17133,1983,17133
17135,1983,17135
17137,1983,17137
17139,1983,17139
17141,1983,17141
17143,1983,17143
17145,1983,17145
17147,1983,17147
17149,1983,17149
17151,1983,17151
17153,1983,17153
17155,1983,17155
17157,1983,17157
17159,1983,17159
17161,1983,17161
17163,1983,17163
17165,1983,17165
17167,1983,17167
17169,1983,17169
17171,1983,17171
17173,1983,17173
17175,1983,17175
17177,1983,17177
17179,1983,17179
17181,1983,17181
17183,1983,17183
17185,1983,17185
17187,1983,17187
17189,1983,17189
17191,1983,17191
17193,1983,17193
17195,1983,17195
17197,1983,17197
17199,1983,17199
17201,1983,17201
17203,1983,17203
18001,1983,18001
18003,1983,18003
18005,1983,18005
18007,1983,18007
18009,1983,18009
18011,1983,18011
18013,1983,18013
18015,1983,18015
18017,1983,18017
18019,1983,18019
18021,1983,18021
18023,1983,18023
18025,1983,18025
18027,1983,18027
18029,1983,18029
18031,1983,18031
18033,1983,18033
18035,1983,18035
18037,1983,18037
18039,1983,18039
18041,1983,18041
18043,1983,18043
18045,1983,18045
18047,1983,18047
18049,1983,18049
18051,1983,18051
18053,1983,18053
18055,1983,18055
18057,1983,18057
18059,1983,18059
18061,1983,18061
18063,1983,18063
18065,1983,18065
18067,1983,18067
18069,1983,18069
18071,1983,18071
18073,1983,18073
18075,1983,18075
18077,1983,18077
18079,1983,18079
18081,1983,18081
18083,1983,18083
18085,1983,18085
18087,1983,18087
18089,1983,18089
18091,1983,18091
18093,1983,18093
18095,1983,18095
18097,1983,18097
18099,1983,18099
18101,1983,18101
18103,1983,18103
18105,1983,18105
18107,1983,18107
18109,1983,18109
18111,1983,18111
18113,1983,18113
18115,1983,18115
18117,1983,18117
18119,1983,18119
18121,1983,18121
18123,1983,18123
18125,1983,18125
18127,1983,18127
18129,1983,18129
18131,1983,18131
18133,1983,18133
18135,1983,18135
18137,1983,18137
18139,1983,18139
18141,1983,18141
18143,1983,18143
18145,1983,18145
18147,1983,18147
18149,1983,18149
18151,1983,18151
18153,1983,18153
18155,1983,18155
18157,1983,18157
18159,1983,18159
18161,1983,18161
18163,1983,18163
18165,1983,18165
18167,1983,18167
18169,1983,18169
18171,1983,18171
18173,1983,18173
18175,1983,18175
18177,1983,18177
18179,1983,18179
18181,1983,18181
18183,1983,18183
19001,1983,19001
19003,1983,19003
19005,1983,19005
19007,1983,19007
19009,1983,19009
19011,1983,19011
19013,1983,19013
19015,1983,19015
19017,1983,19017
19019,1983,19019
19021,1983,19021
19023,1983,19023
19025,1983,19025
19027,1983,19027
19029,1983,19029
19031,1983,19031
19033,1983,19033
19035,1983,19035
19037,1983,19037
19039,1983,19039
19041,1983,19041
19043,1983,19043
19045,1983,19045
19047,1983,19047
19049,1983,19049
19051,1983,19051
19053,1983,19053
19055,1983,19055
19057,1983,19057
19059,1983,19059
19061,1983,19061
19063,1983,19063
19065,1983,19065
19067,1983,19067
19069,1983,19069
19071,1983,19071
19073,1983,19073
19075,1983,19075
19077,1983,19077
19079,1983,19079
19081,1983,19081
19083,1983,19083
19085,1983,19085
19087,1983,19087
19089,1983,19089
19091,1983,19091
19093,1983,19093
19095,1983,19095
19097,1983,19097
19099,1983,19099
19101,1983,19101
19103,1983,19103
19105,1983,19105
19107,1983,19107
19109,1983,19109
19111,1983,19111
19113,1983,19113
19115,1983,19115
19117,1983,19117
19119,1983,19119
19121,1983,19121
19123,1983,19123
19125,1983,19125
19127,1983,19127
19129,1983,19129
19131,1983,19131
19133,1983,19133
19135,1983,19135
19137,1983,19137
19139,1983,19139
19141,1983,19141
19143,1983,19143
19145,1983,19145
19147,1983,19147
19149,1983,19149
19151,1983,19151
19153,1983,19153
19155,1983,19155
19157,1983,19157
19159,1983,19159
19161,1983,19161
19163,1983,19163
19165,1983,19165
19167,1983,19167
19169,1983,19169
19171,1983,19171
19173,1983,19173
19175,1983,19175
19177,1983,19177
19179,1983,19179
19181,1983,19181
19183,1983,19183
19185,1983,19185
19187,1983,19187
19189,1983,19189
19191,1983,19191
19193,1983,19193
19195,1983,19195
19197,1983,19197
20001,1983,20001
20003,1983,20003
20005,1983,20005
20007,1983,20007
20009,1983,20009
20011,1983,20011
20013,1983,20013
20015,1983,20015
20017,1983,20017
20019,1983,20019
20021,1983,20021
20023,1983,20023
20025,1983,20025
20027,1983,20027
20029,1983,20029
20031,1983,20031
20033,1983,20033
20035,1983,20035
20037,1983,20037
20039,1983,20039
20041,1983,20041
20043,1983,20043
20045,1983,20045
20047,1983,20047
