year,fips,estabs,emp,tot_wages,avg_annual_pay
1983,01001,425,4727,68763593,14547
1983,01003,1771,16257,184654668,11358
1983,01005,471,5440,65651337,12068
1983,01007,189,2497,26580875,10645
1983,01009,438,3167,37477804,11834
1983,01011,174,1988,21273762,10701
1983,01013,427,5193,59574187,11472
1983,01015,1828,25685,344703925,13420
1983,01017,525,11539,162404079,14074
1983,01019,251,2931,34285925,11698
1983,01021,464,4357,57185371,13125
1983,01023,287,4100,80140727,19547
1983,01025,550,5728,76606102,13374
1983,01027,182,2977,32861264,11038
1983,01029,133,1791,20211160,11285
1983,01031,688,8101,95873650,11835
1983,01033,1080,14941,289143922,19352
1983,01035,237,2825,34166211,12094
1983,01037,112,1329,17102224,12868
1983,01039,735,10471,119405074,11403
1983,01041,228,2388,24370820,10206
1983,01043,1030,12511,165916299,13262
1983,01045,567,8981,137083998,15264
1983,01047,1046,14239,178911966,12565
1983,01049,788,11974,141934464,11854
1983,01051,535,4590,53224891,11596
1983,01053,735,8923,123338521,13823
1983,01055,1640,25373,436201271,17192
1983,01057,289,4713,71547475,15181
1983,01059,499,6384,78192817,12248
1983,01061,327,3833,44701051,11662
1983,01063,160,1573,18156580,11543
1983,01065,189,1796,16949221,9437
1983,01067,259,2935,34132962,11630
1983,01069,1944,25590,367418068,14358
1983,01071,686,9088,125938559,13858
1983,01073,13641,240192,4163834029,17335
1983,01075,275,4324,54290433,12556
1983,01077,1394,15633,190167482,12164
1983,01079,279,4583,87380850,19066
1983,01081,1153,19230,270711217,14078
1983,01083,641,8751,148844757,17009
1983,01085,133,1513,15801708,10444
1983,01087,246,3382,36006246,10646
1983,01089,3774,68684,1149519940,16736
1983,01091,420,4662,63645359,13652
1983,01093,451,8683,113980898,13127
1983,01095,1216,18379,229100917,12465
1983,01097,7271,100545,1654604699,16456
1983,01099,359,5970,90217033,15112
1983,01101,4474,66563,979500844,14715
1983,01103,1723,26384,430209053,16306
1983,01105,186,2123,19761415,9308
1983,01107,331,2940,36247763,12329
1983,01109,535,5893,66748993,11327
1983,01111,293,3818,46993118,12308
1983,01113,666,7049,90113898,12784
1983,01115,545,4557,58012714,12730
1983,01117,1075,13429,227790616,16963
1983,01119,229,2887,35960767,12456
1983,01121,1049,17278,269039031,15571
1983,01123,646,13172,163097311,12382
1983,01125,2350,30977,479867765,15491
1983,01127,1013,13936,234017882,16792
1983,01129,186,2842,61256216,21554
1983,01131,249,3106,54389449,17511
1983,01133,421,7008,87813008,12530
1983,04001,351,8220,110776228,13476
1983,04003,1308,12007,153670606,12798
1983,04005,1656,19587,235583288,12028
1983,04007,621,7486,138346867,18481
1983,04009,323,2610,29658326,11363
1983,04011,107,2614,65298890,24980
1983,04012,253,2032,23859588,11742
1983,04013,37073,593792,10117311889,17038
1983,04015,1398,11586,147859721,12762
1983,04017,966,13313,194807990,14633
1983,04019,10642,150579,2347780606,15592
1983,04021,1217,17123,268368552,15673
1983,04023,673,5269,68196846,12943
1983,04025,1746,13870,187972538,13552
1983,04027,1612,21981,269959280,12281
1983,05001,625,6330,85402191,13492
1983,05003,439,7021,121883105,17360
1983,05005,618,7071,84009248,11881
1983,05007,1401,25839,369355883,14295
1983,05009,643,7835,97386095,12430
1983,05011,265,3022,40005688,13238
1983,05013,126,2196,32652025,14869
1983,05015,425,4206,40372467,9599
1983,05017,317,2578,29102689,11289
1983,05019,505,5483,74224113,13537
1983,05021,361,3574,37506529,10494
1983,05023,358,2895,31267431,10800
1983,05025,69,359,3484575,9706
1983,05027,610,6803,100652670,14795
1983,05029,324,5127,72533948,14147
1983,05031,1463,18280,246412891,13480
1983,05033,499,6578,79850916,12139
1983,05035,975,9793,125711111,12837
1983,05037,355,3563,42645490,11969
1983,05039,251,2641,33480423,12677
1983,05041,390,4078,51554009,12642
1983,05043,316,3855,46754866,12128
1983,05045,785,11577,149623757,12924
1983,05047,216,2471,28281686,11445
1983,05049,150,1005,9234608,9189
1983,05051,1839,20356,256916236,12621
1983,05053,189,1670,20933488,12535
1983,05055,548,7564,98375905,13006
1983,05057,419,5820,70448168,12104
1983,05059,447,4603,71686022,15574
1983,05061,288,5734,75161203,13108
1983,05063,619,10202,145560007,14268
1983,05065,151,1319,14385433,10906
1983,05067,470,4713,62301914,13219
1983,05069,1711,21087,320437554,15196
1983,05071,265,3843,43085119,11211
1983,05073,183,1543,19435802,12596
1983,05075,320,2812,31091597,11057
1983,05077,202,1501,16422338,10941
1983,05079,144,1237,16264310,13148
1983,05081,191,3078,65683567,21340
1983,05083,318,2859,32707524,11440
1983,05085,528,5040,64304562,12759
1983,05087,133,1223,12153750,9938
1983,05089,141,1626,16895351,10391
1983,05091,703,9567,144266198,15080
1983,05093,1094,14397,173815616,12073
1983,05095,284,1652,17012532,10298
1983,05097,117,906,9129832,10077
1983,05099,187,1544,18004694,11661
1983,05101,65,356,2681434,7532
1983,05103,667,7518,119431332,15886
1983,05105,63,373,3973664,10653
1983,05107,636,6334,73649541,11628
1983,05109,200,1556,15733162,10111
1983,05111,426,4657,54395678,11680
1983,05113,322,3271,33866446,10354
1983,05115,836,10769,159815638,14840
1983,05117,166,1076,11692599,10867
1983,05119,8367,132792,2204200011,16599
1983,05121,262,3240,38038392,11740
1983,05123,552,7431,103226909,13891
1983,05125,728,7293,128927837,17678
1983,05127,138,1360,13974303,10275
1983,05129,115,1144,9461977,8271
1983,05131,2599,44502,694776887,15612
1983,05133,269,3201,36425184,11379
1983,05135,223,1320,12893133,9768
1983,05137,133,1092,9940225,9103
1983,05139,1221,15263,245202295,16065
1983,05141,183,1630,17197834,10551
1983,05143,2194,30019,394065522,13127
1983,05145,904,10286,131648074,12799
1983,05147,193,1734,21444393,12367
1983,05149,240,4052,40858018,10083
1983,06001,22691,371907,7245366680,19482
1983,06003,20,574,4354484,7586
1983,06005,558,3745,53647008,14325
1983,06007,3718,34898,452040464,12953
1983,06009,559,3216,40921679,12724
1983,06011,642,4486,54066846,12052
1983,06013,12626,172599,3301550863,19128
1983,06015,456,3504,47154608,13457
1983,06017,2016,15102,194447506,12876
1983,06019,15086,190374,2545873465,13373
1983,06021,824,5914,74332595,12569
1983,06023,2735,27638,414025288,14980
1983,06025,2219,28555,338488095,11854
1983,06027,504,4613,63094650,13678
1983,06029,8504,135072,2186344884,16187
1983,06031,1677,18420,263275354,14293
1983,06033,997,6585,79865202,12128
1983,06035,447,3527,47259625,13399
1983,06037,164677,3102247,62514556260,20151
1983,06039,1716,18720,221287113,11821
1983,06041,6474,64279,1127465068,17540
1983,06043,226,2632,29438691,11185
1983,06045,2012,18634,255350380,13703
1983,06047,3199,36015,458143472,12721
1983,06049,340,1798,18565814,10326
1983,06051,402,3533,42831696,12123
1983,06053,6470,90107,1338614125,14856
1983,06055,2431,26060,385942163,14810
1983,06057,1375,10323,144393812,13988
1983,06059,42211,775645,14526401349,18728
1983,06061,2968,29097,429401849,14758
1983,06063,504,3354,52567582,15673
1983,06065,12137,158060,2313489850,14637
1983,06067,15498,215872,3638186055,16853
1983,06069,701,6985,89205066,12771
1983,06071,13547,199455,3153267264,15809
1983,06073,35887,558621,9424555677,16871
1983,06075,24738,461808,10444713149,22617
1983,06077,8353,104870,1609328541,15346
1983,06079,3786,42082,702129029,16685
1983,06081,13101,221190,4670667803,21116
1983,06083,7944,109488,1816298296,16589
1983,06085,27287,653166,14688675863,22488
1983,06087,4693,55552,785168873,14134
1983,06089,3046,27820,428883519,15416
1983,06091,65,333,6249999,18769
1983,06093,1154,7957,99736698,12534
1983,06095,3626,45177,720167654,15941
1983,06097,8028,83091,1282210890,15431
1983,06099,6488,83277,1250124802,15012
1983,06101,1603,13495,176254127,13061
1983,06103,919,8346,117389966,14065
1983,06105,241,1492,22611968,15155
1983,06107,6241,77163,927106324,12015
1983,06109,969,6470,79642318,12309
1983,06111,9452,139536,2285234720,16377
1983,06113,2596,30188,470196205,15576
1983,06115,920,9762,134099715,13737
1983,08003,331,3410,42774605,12544
1983,08005,7995,112354,2101928253,18708
1983,08007,162,954,10451971,10956
1983,08009,130,511,5543914,10849
1983,08011,73,383,3895433,10171
1983,08015,375,2204,25649613,11638
1983,08017,56,378,4939902,13069
1983,08019,158,1432,23761675,16593
1983,08021,77,638,7103595,11134
1983,08023,31,300,3131004,10437
1983,08025,36,291,3604778,12388
1983,08027,46,221,1978599,8953
1983,08029,464,3544,45269346,12774
1983,08031,38391,627615,12198302348,19436
1983,08033,35,219,2906468,13272
1983,08035,599,4756,75065520,15783
1983,08037,880,8071,112453023,13933
1983,08039,86,448,5216043,11643
1983,08041,7061,96927,1474459562,15212
1983,08043,563,5622,68248625,12140
1983,08045,986,8640,168238229,19472
1983,08047,57,211,2028532,9614
1983,08049,443,3076,34031480,11064
1983,08051,420,2981,34401117,11540
1983,08053,33,129,1467591,11377
1983,08055,158,922,9174586,9951
1983,08057,63,409,6968373,17038
1983,08061,41,193,1808180,9369
1983,08063,201,1614,20199998,12515
1983,08065,176,1594,37278138,23387
1983,08067,1026,8712,100409991,11525
1983,08069,3860,42416,642175168,15140
1983,08071,288,2082,21789344,10466
1983,08073,116,929,10471380,11272
1983,08075,560,5791,81983955,14157
1983,08077,2567,26705,420107515,15731
1983,08079,40,442,8969411,20293
1983,08081,406,3745,71712936,19149
1983,08083,461,4074,68750473,16875
1983,08085,626,5178,73337944,14163
1983,08087,583,6480,89218840,13768
1983,08089,472,4826,55721698,11546
1983,08091,73,263,2497417,9496
1983,08093,105,567,8187605,14440
1983,08095,122,694,8588620,12376
1983,08097,903,8139,123306707,15150
1983,08099,368,3763,46810893,12440
1983,08101,2225,26902,394561152,14667
1983,08103,232,2628,55763820,21219
1983,08105,317,2729,30487946,11172
1983,08107,556,5900,92543341,15685
1983,08109,77,533,5250700,9851
1983,08111,49,478,10202736,21345
1983,08113,120,694,7030635,10131
1983,08115,89,563,6183881,10984
1983,08117,681,6571,82096647,12494
1983,08119,232,1144,11329079,9903
1983,08121,109,691,9248622,13384
1983,08125,296,1692,20306125,12001
1983,09001,22985,340423,7272282441,21362
1983,09003,19543,407747,7827103457,19196
1983,09005,4022,45723,698214059,15271
1983,09007,2915,41972,699888391,16675
1983,09009,17475,275909,4627975045,16774
1983,09011,4521,86246,1618075840,18761
1983,09013,1739,15805,199406733,12617
1983,09015,1670,25683,381090233,14838
1983,10001,1607,21637,290790721,13440
1983,10003,7557,163643,3294531167,20132
1983,10005,2173,32474,428932495,13208
1983,11001,18156,320693,6651998366,20743
1983,12001,3287,43428,570409809,13135
1983,12003,177,1332,14915126,11198
1983,12005,2456,28016,351367742,12542
1983,12007,257,2251,24132078,10721
1983,12009,5772,97076,1657118340,17070
1983,12011,27763,323897,5119381798,15806
1983,12013,190,1395,14940535,10710
1983,12015,1347,13240,174776680,13201
1983,12017,1065,10098,137038851,13571
1983,12019,1225,13389,169329236,12647
1983,12021,3483,37543,446075278,11882
1983,12023,764,8030,94823489,11809
1983,12027,341,3035,32198656,10609
1983,12029,129,1200,14649894,12208
1983,12031,12988,222340,3591523757,16153
1983,12033,4601,68110,988243230,14510
1983,12035,293,2609,34031903,13044
1983,12037,175,1033,10388829,10057
1983,12039,491,6034,66744183,11061
1983,12041,89,487,4415163,9066
1983,12043,52,570,6636050,11642
1983,12045,186,2710,44865811,16556
1983,12047,144,2898,53014537,18293
1983,12049,389,3564,35835279,10055
1983,12051,408,5342,74111566,13873
1983,12053,882,8322,96639685,11613
1983,12055,1184,10861,118162963,10880
1983,12057,15820,265672,4095288617,15415
1983,12059,177,1781,16530468,9282
1983,12061,1959,18314,242321309,13231
1983,12063,543,6535,71620299,10959
1983,12065,170,1890,20051341,10609
1983,12067,50,182,1658906,9115
1983,12069,2486,28232,323268776,11450
1983,12071,6198,66654,891442474,13374
1983,12073,3832,43731,560546180,12818
1983,12075,323,2685,31642869,11785
1983,12077,57,596,7271433,12200
1983,12079,237,2801,31163861,11126
1983,12081,3387,43613,569932800,13068
1983,12083,3103,35114,445381805,12684
1983,12085,2242,21562,306719020,14225
1983,12086,48220,637801,10817034320,16960
1983,12087,2038,17102,194432378,11369
1983,12089,619,7099,112652632,15869
1983,12091,2581,28289,331968972,11735
1983,12093,498,4054,47108637,11620
1983,12095,12986,242253,3870636500,15978
1983,12097,1109,16813,194727069,11582
1983,12099,17352,220681,3635949594,16476
1983,12101,3125,35375,434591008,12285
1983,12103,16959,237778,3413877850,14357
1983,12105,6888,105153,1521428197,14469
1983,12107,918,10289,154804213,15046
1983,12109,1258,12624,142735195,11307
1983,12111,2076,26791,393540904,14689
1983,12113,815,9067,129350635,14266
1983,12115,6840,70363,973474777,13835
1983,12117,3899,47301,666014622,14080
1983,12119,333,3317,39612716,11942
1983,12121,409,4646,51942599,11180
1983,12123,338,5032,82725397,16440
1983,12125,86,1027,12420780,12094
1983,12127,6258,71807,887097061,12354
1983,12129,124,1519,17482745,11509
1983,12131,309,3225,32946884,10216
1983,12133,205,1781,18897002,10610
1983,13001,258,3914,68921928,17609
1983,13003,81,753,8107656,10767
1983,13005,171,1885,21195221,11244
1983,13007,25,545,5813064,10666
1983,13009,509,8679,117514436,13540
1983,13011,66,1898,26084321,13743
1983,13013,343,5962,75909889,12732
1983,13015,662,12151,174624820,14371
1983,13017,304,4284,52768720,12318
1983,13019,204,3146,40802139,12970
1983,13021,3101,52929,804544650,15200
1983,13023,164,1422,12836583,9027
1983,13025,72,556,6545050,11772
1983,13027,186,2217,20263355,9140
1983,13029,98,1083,12430513,11478
1983,13031,683,8088,95791579,11844
1983,13033,267,10114,234732395,23209
1983,13035,213,2076,20999003,10115
1983,13037,103,876,8604722,9823
1983,13039,283,4702,89598172,19055
1983,13043,159,1274,13109105,10290
1983,13045,908,19310,245535369,12715
1983,13047,354,5900,72113969,12223
1983,13049,109,1331,15281919,11482
1983,13051,4455,68931,1073375709,15572
1983,13053,31,467,4080076,8737
1983,13055,252,5690,71042204,12485
1983,13057,699,6249,76206150,12195
1983,13059,1714,29359,379256095,12918
1983,13061,46,381,3548475,9314
1983,13063,2239,48706,999751809,20526
1983,13065,121,1657,22447718,13547
1983,13067,6456,92338,1628166199,17633
1983,13069,518,6704,83400122,12440
1983,13071,663,7992,100622356,12590
1983,13073,465,5083,64966097,12781
1983,13075,221,2798,30086348,10753
1983,13077,616,10507,157068047,14949
1983,13079,62,518,4847172,9357
1983,13081,424,4889,53366601,10916
1983,13083,105,1738,19971348,11491
1983,13085,59,563,6086950,10812
1983,13087,453,6826,90432190,13248
1983,13089,10879,186657,3384613797,18133
